tower_id,lat,lng,operator,signal_score,frequency_mhz,tx_power_dbm,height_m,zone,radio,range_m,samples,avg_signal_dbm,mcc,mnc,lac,cellid
OCI_405_861_856336,12.91,77.58,Jio,70,1800,46,30,Jayanagar,LTE,1000,1,0,405,861,17,856336
OCI_404_45_790028,12.91,77.57,Airtel,70,1800,46,30,Jayanagar,LTE,1000,1,0,404,45,8530,790028
OCI_404_45_790018,12.91,77.57,Airtel,70,1800,46,30,Jayanagar,LTE,1000,1,0,404,45,8102,790018
OCI_404_45_28411610,12.91,77.58,Airtel,60,2100,43,30,Jayanagar,UMTS,1000,1,0,404,45,34331,28411610
OCI_404_71_20347211,12.91,77.58,BSNL,60,2100,43,30,Jayanagar,UMTS,1000,1,0,404,71,3310,20347211
OCI_404_45_26314458,12.91,77.58,Airtel,60,2100,43,30,Jayanagar,UMTS,1000,1,0,404,45,34011,26314458
OCI_404_45_8183,12.91,77.57,Airtel,65,900,43,35,Jayanagar,GSM,1000,1,0,404,45,25044,8183
OCI_404_45_6491,12.91,77.57,Airtel,65,900,43,35,Jayanagar,GSM,1000,1,0,404,45,25042,6491
OCI_404_45_525569,12.91,77.57,Airtel,70,1800,46,30,Jayanagar,LTE,1000,1,0,404,45,8555,525569
OCI_405_34_275491,12.91,77.57,Unknown,60,2100,43,30,Jayanagar,UMTS,1000,1,0,405,34,10004,275491
OCI_404_45_26310797,12.91,77.57,Airtel,60,2100,43,30,Jayanagar,UMTS,1000,1,0,404,45,34011,26310797
OCI_405_803_14733,12.91,77.57,Unknown,65,900,43,35,Jayanagar,GSM,1000,1,0,405,803,1151,14733
OCI_404_45_790016,12.91,77.57,Airtel,70,1800,46,30,Jayanagar,LTE,1000,1,0,404,45,1012,790016
OCI_404_45_230566154,12.91,77.57,Airtel,70,1800,46,30,Jayanagar,LTE,1000,1,0,404,45,1012,230566154
OCI_404_86_60931,12.91,77.57,Vi,65,900,43,35,Jayanagar,GSM,1000,1,0,404,86,51019,60931
